,dataset,metric,1vsall_dm_relu_normalized
331,zoom_blur_3,logits_loss,1.6889337301254272
336,zoom_blur_3,acc,0.8246299624443054
337,zoom_blur_3,ece,0.06860865652561188
338,zoom_blur_3,nll,0.5703285932540894
339,zoom_blur_3,brier,0.32037678360939026
340,zoom_blur_4,loss,1.8438239097595213
341,zoom_blur_4,logits_loss,1.7455197572708132
346,zoom_blur_4,acc,0.7997533082962036
347,zoom_blur_4,ece,0.06102684885263442
348,zoom_blur_4,nll,0.6176608204841614
349,zoom_blur_4,brier,0.3485157787799835
350,zoom_blur_5,loss,1.975621461868286
351,zoom_blur_5,logits_loss,1.8773170709609983
356,zoom_blur_5,acc,0.7534950375556946
357,zoom_blur_5,ece,0.05608691275119782
358,zoom_blur_5,nll,0.7309288978576659
359,zoom_blur_5,brier,0.4096401035785675
360,snow_1,loss,1.845483899116516
361,snow_1,logits_loss,1.7471795082092283
366,snow_1,acc,0.8021175861358643
367,snow_1,ece,0.06513135135173798
368,snow_1,nll,0.6247563362121582
369,snow_1,brier,0.34657788276672363
370,snow_2,loss,2.2219603061676025
371,snow_2,logits_loss,2.1236557960510254
376,snow_2,acc,0.6591283082962036
377,snow_2,ece,0.06408978253602983
378,snow_2,nll,0.9526374340057372
379,snow_2,brier,0.5221041440963745
380,snow_3,loss,2.1030712127685547
381,snow_3,logits_loss,2.0047664642333984
386,snow_3,acc,0.7028166055679321
387,snow_3,ece,0.04296915605664253
388,snow_3,nll,0.8506740927696228
389,snow_3,brier,0.4645756185054779
390,snow_4,loss,2.190945863723755
391,snow_4,logits_loss,2.092641115188598
396,snow_4,acc,0.6689966917037964
397,snow_4,ece,0.0574280321598053
398,snow_4,nll,0.9257539510726928
399,snow_4,brier,0.5063914656639099
400,snow_5,loss,2.33216404914856
401,snow_5,logits_loss,2.2338593006134038
406,snow_5,acc,0.6198601722717285
407,snow_5,ece,0.08900558948516846
408,snow_5,nll,1.0463285446166992
409,snow_5,brier,0.5737754106521606
410,frost_1,loss,1.8125040531158447
411,frost_1,logits_loss,1.7141999006271362
416,frost_1,acc,0.8150699138641357
417,frost_1,ece,0.07207809388637543
418,frost_1,nll,0.5984187126159668
419,frost_1,brier,0.3276704847812653
420,frost_2,loss,1.9876095056533811
421,frost_2,logits_loss,1.8893053531646729
426,frost_2,acc,0.7484580874443054
427,frost_2,ece,0.051390893757343285
428,frost_2,nll,0.7504230737686157
429,frost_2,brier,0.4102445542812347
430,frost_3,loss,2.2621171474456787
431,frost_3,logits_loss,2.1638123989105225
436,frost_3,acc,0.6453536152839661
437,frost_3,ece,0.08118808269500732
438,frost_3,nll,0.9879623055458068
439,frost_3,brier,0.5405664443969727
440,frost_4,loss,2.316394090652466
441,frost_4,logits_loss,2.2180893421173096
446,frost_4,acc,0.6274670958518982
447,frost_4,ece,0.08821862936019897
448,frost_4,nll,1.0354413986206057
449,frost_4,brier,0.5649399757385254
450,frost_5,loss,2.6148905754089355
451,frost_5,logits_loss,2.5165858268737797
456,frost_5,acc,0.5193256735801697
457,frost_5,ece,0.16996854543685913
458,frost_5,nll,1.294023036956787
459,frost_5,brier,0.7021788358688354
460,fog_1,loss,1.6727688312530518
461,fog_1,logits_loss,1.5744645595550537
466,fog_1,acc,0.8654399514198303
467,fog_1,ece,0.08798480778932571
468,fog_1,nll,0.4744708836078644
469,fog_1,brier,0.2645734846591949
470,fog_2,loss,1.7033967971801758
471,fog_2,logits_loss,1.6050924062728882
476,fog_2,acc,0.8517680764198303
477,fog_2,ece,0.0777726024389267
478,fog_2,nll,0.4999911189079285
479,fog_2,brier,0.2801493704319
480,fog_3,loss,1.743720769882202
481,fog_3,logits_loss,1.645416498184204
486,fog_3,acc,0.8334704041481018
487,fog_3,ece,0.06459338963031769
488,fog_3,nll,0.5341055989265442
489,fog_3,brier,0.2996504604816437
490,fog_4,loss,1.8350968360900881
491,fog_4,logits_loss,1.7367923259735107
496,fog_4,acc,0.8016036152839661
497,fog_4,ece,0.058289259672164924
498,fog_4,nll,0.6129201650619507
499,fog_4,brier,0.3428801000118256
500,fog_5,loss,2.2107222080230717
501,fog_5,logits_loss,2.112417221069336
506,fog_5,acc,0.6613898277282715
507,fog_5,ece,0.0630832314491272
508,fog_5,nll,0.9361389279365541
509,fog_5,brier,0.5153658986091614
510,brightness_1,loss,1.6781762838363647
511,brightness_1,logits_loss,1.5798718929290771
516,brightness_1,acc,0.86328125
517,brightness_1,ece,0.08671535551548004
518,brightness_1,nll,0.4796881377696991
519,brightness_1,brier,0.2665422856807709
520,brightness_2,loss,1.6886159181594849
521,brightness_2,logits_loss,1.5903115272521973
526,brightness_2,acc,0.8581414222717285
527,brightness_2,ece,0.08512852340936661
528,brightness_2,nll,0.4892010390758514
529,brightness_2,brier,0.27093905210494995
530,brightness_3,loss,1.7078138589859009
531,brightness_3,logits_loss,1.6095094680786133
536,brightness_3,acc,0.8505345582962036
537,brightness_3,ece,0.08155000954866409
538,brightness_3,nll,0.5062996745109558
539,brightness_3,brier,0.2795950770378113
540,brightness_4,loss,1.7331031560897827
541,brightness_4,logits_loss,1.6347984075546265
546,brightness_4,acc,0.8453947305679321
547,brightness_4,ece,0.07977277040481567
548,brightness_4,nll,0.5281101465225221
549,brightness_4,brier,0.2916350066661835
550,brightness_5,loss,1.8003543615341189
551,brightness_5,logits_loss,1.7020500898361206
556,brightness_5,acc,0.8197985291481018
557,brightness_5,ece,0.0703246146440506
558,brightness_5,nll,0.5862268209457397
559,brightness_5,brier,0.3237942755222321
